,AGSTATS_ID,Action,Info Source,Donor,Implementer,Country (recipient),"Type of Support (Global, Regional, National)",Region,Yr Start,Yr Finish,Budget (USD),Project Title,Project Type,allocated_country,project_symbol,baby (0 = parent),GS/VoH/CARD
101,95,ok,FAO,FAO,FAO,Kyrgyz Republic,National,CIS,2014,2015,"62,000",Assistance to the National Statistics Committee in preparing a project document for the Agricultural Census of 2016,Data Collection,1,TCP/KYR/3501 BABY01,1,0
88,96,ok,FAO,FAO,FAO,Timor-Leste,National,Asia & Pacific,2014,2015,"61,651",Initial Support to Planning of the First Agricultural Census,Data Collection,1,TCP/TIM/3502 BABY03,1,0
119,97,ok,FAO,FAO,FAO,Ecuador,National,LAC,2014,2015,"54,948",Apoyo al fortalecimiento del sistema nacional de estadisticas agropecuarias,Capacity Development ,1,TCP/ECU/3501 BABY03,1,0
120,98,ok,FAO,FAO,FAO,El Salvador,National,LAC,2014,2015,"53,390",Fortalecimiento del sistema de seguimiento y evaluacion de Seguridad Alimentaria Nutricional (SAN) a traves del a poyo a la implementacion de la Escala Latinoamericana y Caribeña de Seguridad Alimentaria (ELCSA) en El Salvador,Information System,1,TCP/ELS/3501 BABY02,1,0
79,99,ok,FAO,FAO,FAO,Pakistan,National,Asia & Pacific,2014,2015,"50,165",Capacity building of Food department in Azad Jammu and Kashmir (AJ&K) to improve its food stock information management system,Capacity Development,1,TCP/PAK/3501 BABY01,1,0
123,100,ok,FAO,FAO,FAO,Guyana,National,LAC,2015,2015,"49,889",Assistance to the Government of Guyana for the strengthening of its agricultural statistical information system for evidence based decision making,Capacity Development,1,TCP/GUY/3502 BABY01,1,0
16,101,ok,FAO,FAO,FAO,Comoros,National,Africa,2014,2015,"48,477",Appui pour la preparation de Recensement General de l'Agriculture et de l'Elevage (RGAE) des Comores et la mise en place d'un Système Permanent Integre de Statistiques Agricoles (SPISA) et d'un TCP pour l'assistance a la preparation des RGAE,Data Collection,1,TCP/COI/3502 BABY01,1,0
115,102,ok,FAO,FAO,FAO,Brazil,National,LAC,2014,2015,"47,114",Measuring Food Insecurity Indicators in Brazil,Information System,1,TCP/BRA/3501 BABY01,1,0
114,103,ok,FAO,FAO,FAO,Bolivia,National,LAC,2015,2015,"41,201",Asistencia tecnica al MDPyEP para el desarrollo de capacidades en la implementacion de una prueba Piloto del Observatorio del Consumo,Capacity Development,1,TCP/BOL/3504 BABY03,1,0
96,104,ok,FAO,UNDP,FAO,Armenia,National,CIS,2014,2015,"19,000",Support to Comprehensive Agricultural Censusus Phase II: Support to the Full-scale Agricultural Census in Armenia,Data Collection,1,ARM/14/001//01/34,NA,0
,105,ok,FAO,EU,FAO,Papua New Guinea,National,Asia & Pacific,2015,2017,"6,823,528",Technical support to the Papua New Guinea Forest Authority to implement a multi-purpose National Forest Inventory,Capacity Development,1,GCP /PNG/006/EC,NA,NA
,106.a,LSMS - baby,WB ,BMGF (94.9%); WB (5.1%),WB,Ethiopia,National,Africa,2011,2016,"4,459,022",Living Standards Measurement Study - Integrated Surveys on Agriculture,Data Collection,1,NA,1,NA
,106.b,LSMS - parent,WB,BMGF (60.7%); CGIAR (0.9%); IFAD (1.5%); Stanford (0.1%); USA (5.1%); UK (18.2%); UNSD (0.7%); World Agroforestry Center (0.1%); WB (12.8%),WB,Global ,Global,Global,2008,2020,"35,154,329",Living Standards Measurement Study - Integrated Surveys on Agriculture,Data Collection,0,NA,0,NA
,106.c,LSMS - baby,WB ,BMGF (40.9%); Ireland (2.2%); USA (45.7%); WB (2.7%); WFP (5.3%),WB,Malawi,National,Africa,2010,2017,"8,340,871",Living Standards Measurement Study - Integrated Surveys on Agriculture,Data Collection,1,NA,1,NA
,106.d,LSMS - baby,WB ,USA,WB,Mali,National,Africa,2014,2015,"3,564,700",Living Standards Measurement Study - Integrated Surveys on Agriculture,Data Collection,1,NA,1,NA
,106.e,LSMS - baby,WB ,BMGF (75.6%); UNICEF (4.7%); WB (19.7%),WB,Niger,National,Africa,2011,2015,"2,116,666",Living Standards Measurement Study - Integrated Surveys on Agriculture,Data Collection,1,NA,1,NA
,106.f,LSMS - baby,WB ,BMGF (71.1%); Norway (5.5%); WB (19.1%) ,WB,Nigeria,National,Africa,2011,2016,"7,354,838",Living Standards Measurement Study - Integrated Surveys on Agriculture,Data Collection,1,NA,1,NA
,106.g,LSMS - baby,WB ,BMGF (40.1%); Denmark (5.1%); UNFPA (3.3%); UNICEF (4.5%); USA (7.5%); WB (9.5%),WB,Tanzania,National,Africa,2008,2015,"2,396,816",Living Standards Measurement Study - Integrated Surveys on Agriculture,Data Collection,1,NA,1,NA
