,AGSTATS_ID,Action,Info Source,Donor,Implementer,Country (recipient),"Type of Support (Global, Regional, National)",Region,Yr Start,Yr Finish,Budget (USD),Project Title,Project Type,allocated_country,project_symbol,baby (0 = parent),GS/VoH/CARD
,8,added 07/03,FAO,USA,FAO,Bangladesh,National,Asia & Pacific,2015,2018,"6,456,087",Strengthening National Forest Inventory and Satellite Land Monitoring System in support of REDD+ in Bangladesh,Capacity Development,1,GCP /BGD/058/USA,NA,0
,9,added 07/03,FAO,FAO,FAO,Chile,National,LAC,2015,2019,"6,293,684","Integrated National Monitoring and Assessment System on Forest Ecosystems (SIMEF) in support of policies, regulations and SFM practices incorporating REDD+ and biodiversity conservation in forest ecosystems (FSP)",Information System,1,GCP /CHI/032/GFF,NA,0
54,10.a,"AMIS, ok",FAO,BMGF,FAO,Bangladesh,National,Asia & Pacific,2014,2016,"846,935",Strengthening Agriculture Market Information Systems in Bangladesh,Capacity Development,1,MTF /GLO/359/BMG BABY02,1,0
112,10.b,"AMIS - global component, ok","FAO, PRESS",BMGF,FAO,Global,Global,Global,2012,2017,"5,637,513",Strengthening Agricultural Market Information Systems (AMIS) globally and in selected countries (Bangladesh/India/Nigeria) using innovative methods and digital technology ,Capacity Development,0,MTF /GLO/359/BMG,0,0
68,10.c,"AMIS, ok",FAO,BMGF,FAO,India ,National,Asia & Pacific,2015,2016,"884,374",Strengthening Agricultural Market Information Systems in India using innovative methods and digital technology (Baby Project),Capacity Development,1,MTF /GLO/359/BMG BABY01,1,0
34,10.d,"AMIS, ok",FAO,BMGF,FAO,Nigeria,National,Africa,2014,2016,"608,600",Strengthening Agriculture Market Information Systems in Nigeria using innovative methods and digital technology (Baby Project),Capacity Development,1,MTF /GLO/359/BMG BABY03,1,0
86,10.e,"AMIS, ok","FAO, PRESS",Japan,FAO,"Philippines, Thailand",Regional,Asia & Pacific,2012,2016,"1,005,198",Strengthening Agricultural Market Information in Thailand and the Philippines - Regional Component,Capacity Development,1,MTF /RAS/359/JPN,0,0
113,10.f,"AMIS, ok",FAO,Japan,FAO,"Philippines, Thailand",Regional,Asia & Pacific,2012,2015,"412,572",Strengthening Agricultural Market Information in Thailand and the Philippines - Global Component,Capacity Development,0,MTF /RAS/359/JPN BABY01,1,0
77,11,ok,PRESS ,EU,"WFP, FAO",Nepal,National,Asia & Pacific,2011,2018,"5,422,692",Support to the Institutionalizing of the Nepal Food Security Monitoring and Analysis System (NeKSAP) in Nepal - To provide technical support to the Central Bureau of Statistics (CBS) ,Information System,1,NA,NA,0
39,12,FPMIS - ESA?,PRESS ,EU,FAO,Somalia,National,Africa,2013,2017,"5,310,674","Economic Development Programme for Growth and Resilience, Phase III - Support to the Food Security & Nutrition Analysis Unit for Somalia Phase VII",Capacity Development,1,GCP / SOM/051/MUL,NA,0
52,13,"EU, ok",PRESS ,EU,EU,Afghanistan,National,Asia & Pacific,2013,2016,"5,277,483","Afghanistan Rural Governance and Development Programme 2010 - Production of 2 consecutive rounds of the national risk and vulnerability assessment, and provision of technical support to the Central Statistics Organization done in Afghanistan",Capacity Development,1,NA,NA,0
,14,added 07/03,FAO,Germany,FAO,"Algeria, Argentina, Bhutan, Chile, Colombia, Ghana, Kyrgyzstan, Lao PDR, Morocco, Mozambique, Peru, Philippines, South Africa, Tajikistan, Thailand, Tunisia, Uruguay, Zambia",National,Global,2013,2016,"5,235,598",National Forest Monitoring and Information System for a transparent and truthful REDD-plus,Capacity Development,1,GCP /GLO/456/GER(BMU),NA,0
49,15,ok,GS MTE; JICA,Japan,Japan,Tanzania,National,Africa,2011,2015,"5,000,000",Agricultural Routine Data System (ARDS); Project for Capacity Development for the ASDP Monitoring and Evaluation System Phase 2,Capacity Development,1,NA,NA,0
10,16,ok,"FAO, PRESS",EU,FAO,Chad,National,Africa,2013,2017,"4,966,574",Appui a la mise en place d`un Systeème d`Information durable sur la securite alimentaire et d`alerte precoce,Information System ,1,GCP /CHD/038/EC,NA,0
109,17.a,ok,"FAO, PRESS",UK,FAO,Global,Global,Global,2013,2017,"4,844,425",VoH-Voices of the Hungry - 2 (203728-101),Information System,0,GCP /GLO/450/UK,NA,1
108,17.b,ok,FAO,Belgium,FAO,Global,Global,Global,2013,2017,"1,800,000",FMM support to SO 1 - OO3 (MTP 2014-2017) Voices of the Hungry,Information System ,0,FMM/GLO/106/MUL,NA,1
,18,added 07/03,FAO,Norway,FAO,Global,Global,Global,2014,2017,"4,587,758","Space Data Management System (SDMS) -  Acquire, Query, Process and Deliver Earth Observation Data and Forest Information Products to Developing Countries.",Capacity Development,0,GCP /GLO/537/NOR,NA,0
44,19,ok,USDA,USA,USDA,Tanzania,National,Africa,2012,2022,"4,000,000",Annual Agricultural Sample Survey,Data Collection,1,NA,NA,0
,20,added 07/03,FAO,Ethiopia,FAO,Ethiopia,National,Africa,2014,2016,"3,915,348",Implementation of a national forest monitoring and MRV system for REDD+ readiness in Ethiopia,Information System,1,UTF /ETH/086/ETH,NA,0
,21,added 07/03,FAO,EU,FAO,Global,Global,Global,2015,2022,"3,837,719",Improving global forest management through improved global forest information,Information System,0,GCP /GLO/665/EC,NA,0
60,22,ok,"FAO, PRESS","Australia (24%), Sweden (38%), USA (38%)",FAO,Cambodia,National,Asia & Pacific,2013,2015,"3,750,000",First National Census of Agriculture,Data Collection,1,GCP /CMB/040/MUL,0,0
3,23,ok,PRESS ,EU,EU,Burundi,National,Africa,2013,2017,"2,920,871",Programme pour la Securite Alimentaire et Nutritionnelle au Burundi  ,Capacity Development,1,NA,NA,0
53,24,"EU, ok",PRESS ,EU,EU,Afghanistan,National,Asia & Pacific,2014,2016,"2,786,254",EU Support to Agriculture in Afghanistan in Transition,Capacity Development,1,NA,NA,0
104,25,ok,"FAO, PRESS ",EU,FAO,Tajikistan,National,CIS,2011,2015,"2,541,702",Support to Strengthening of the National Food Security Information System,Information System,1,GCP /TAJ/007/EC,NA,0
,26,added 07/03,FAO,USA,FAO,Pakistan,National,Asia & Pacific,2011,2016,"2,317,617","Agricultural Information Systems - Building Provincial Capacity for Crop Estimation, Forecasting and Reporting based on the Integral Use of Remotely Sensed Data",Capacity Development,1,GCP /PAK/125/USA,NA,NA
27,27,ok,"FAO, PRESS",Japan,FAO,"Benin, Cote d'Ivoire, Ethiopia, Ghana, Kenya,Madagascar, Nigeria, Senegal, Uganda",Regional,Africa,2013,2018,"2,146,647",Strengthening Agricultural Statistics and Food Security Information in CARD Countries through South-South Cooperation,Capacity Development ,1,GCP /INT/161/JPN,NA,1
100,28,ok,USDA,USAID,USDA,Georgia,National,CIS,2013,2017,"2,011,000",Georgian Agricultural Policy Initiative,Capacity Development,1,NA,NA,0
95,29,ok,ADB,ADB,ADB,"Lao PDR, Philippines, Thailand, Viet Nam",Regional,Asia & Pacific,2013,2016,"2,000,000",Regional Capacity Development Technical Assistance (R-CDTA 8369): Innovative Data Collection methods for Agricultural & Rural Statistics (Research),Capacity Development,1,NA,NA,0
41,30,ok,FAO,WFP,FAO,South Sudan,National,Africa,2013,2015,"1,830,540",Partnership to Stregthen the GRSS Institutional Capacity on Food Security Information Systems: A Component of the National Strategic Food Reserve,Information System ,1,OSRO/SSD/301/WFP,NA,0
99,31,ok,USDA,USA ,USDA,Georgia,National,CIS,2006,2016,"1,750,000",Agricultural Statistical Data Collection and Analysis Project,Capacity Development,1,NA,NA,0
50,32,ok,AfDB,"AfDB (71.8%), FAO (28.2%)",AfDB,Cabo Verde,National,Africa,2014,2016,"1,670,938",Recensement Général de l’Agriculture (RGA) 2014-2016,Data Collection,1,NA,NA,0
,33,ok,IADB,IADB,IADB,Regional Latin America,Regional,LAC,2015,2018,"1,150,000",Development of Methodology for the Implementation of agricultural statistics,Capacity Development ,0,,NA,0
14,34,ok,"FAO, PRESS",Italy,FAO,"Burkina Faso, Chad, Niger, Mali, Mauritania",Regional,Africa,2014,2016,"1,001,877",Strengthening the Capacity to Monitor Food Insecurity in the Sahel,Capacity Development ,1,GCP /GLO/540/ITA,NA,0
