Info Source,Donor,Implementer,Country (recipient),"Type of Support (Global, Regional, National)",Region,Yr Start,Yr Finish,Budget (USD),Project Title,Project Type,allocated_country,project_symbol,baby (0 = parent),GS/VoH/CARD,Comments
IADB,IADB,IADB,Peru,National,LAC,2014,2019,"15,000,000",PROJECT TO IMPROVE THE AGRICULTURAL STATISTICAL INFORMATION SYSTEM AND THE AGRICULTURAL INFORMATION SERVICE FOR RURAL DEVELOPMENT IN PERU,Information System ,1,NA,NA,0,
"FAO, PRESS",Multilateral ,FAO,Global,Global,Global,2012,2017,"12,076,112",Global Component- Global Strategy to Improve Agricultural and Rural Statistics,Capacity Development ,0,MTF /GLO/372/MUL,NA,1,
PRESS ,EU,FAO,Sudan,National,Africa,2012,2015,"11,053,985",Food Security Policy and Strategy Capacity Building Programme,Information System,1,NA,NA,0,"divide by 5 = 206,250"
FAO,Netherlands,FAO,"Benin, Burundi, Egypt, Ethiopia, 
Ghana, Kenya, Mali,
Morocco, Mozambique, Rwanda, South Sudan, Tunisia,
Uganda,West Bank and Gaza Strip, Yemen, Jordan, Lebanon, Syria",Global,Global,2015,2019,"9,992,590",Monitoring water productivity by Remote Sensing as a tool to assess possibilities to reduce water productivity gaps,Capacity Development,1,GCP /INT/229/NET,NA,NA,divide by 18 
PRESS ,EU,FAO,South Sudan,National,Africa,2013,2016,"9,293,680",Agriculture and Food Information System for Decision Support (AFIS),Information System ,1,NA,NA,0,
PRESS ,EU,FAO,Yemen,National,Near East,2013,2016,"7,966,012",Food Security Information System,Information System ,1,NA,NA,0,added 04/03/16
"FAO, PRESS",Congo,FAO,Congo,National,Africa,2014,2017,"7,729,390",Recensement General de l`Agriculture (RGA) et CountrySTAT,Capacity Development,1,UTF /PRC/014/PRC,NA,0,
FAO,"BMGF, UK",FAO,Regional Africa,Regional,Africa,2013,2017,"7,081,669",African Development Bank- Regional Component in Africa- Global Strategy to Improve Agricultural and Rural Statistics,Capacity Development,0,MTF /RAF/372/MUL-AFDB,NA,1,
"FAO, PRESS",BMGF,FAO,"Zambia, Uganda, Tanzania,  Senegal, Rwanda, Nigeria, Mozambique, Malawi, Mali, Kenya, Ghana, Ethiopia,Cameroon, Cote d'Ivoire, Benin, Burkina Faso, Angola",Regional,Africa,2011,2016,"6,929,304",CountrySTAT for Sub-Saharan Africa: Strengthening the CountrySTAT System established in 17 Sub-Saharan African Countries - Phase II of GCP/GLO/208/BMG  (Grant OPPGD1452),Capacity Development,1,MTF /GLO/345/BMG,NA,0,"divide by 17 = 386,429.65 per country"
"FAO, PRESS",EU,FAO,Cote d'Ivoire,National,Africa,2014,2016,"6,916,113",Appui et assistance technique de la FAO a la mise en oeuvre du Recensement des exploitants et exploitations agricoles (REEA) ,Data Collection,1,GCP /IVC/033/EC,NA,0,
PRESS ,UK,FAO,Global,Global,Global,2011,2016,"6,734,273","IMPROVING STATISTICS FOR FOOD SECURITY, SUSTAINABLE AGRICULTURE AND RURAL DEVELOPMENT",Capacity Development ,0,NA,NA,1,
FAO,USA,FAO,Bangladesh,National,Asia & Pacific,2015,2018,"6,456,087",Strengthening National Forest Inventory and Satellite Land Monitoring System in support of REDD+ in Bangladesh,Capacity Development,1,GCP /BGD/058/USA,NA,0,
FAO,FAO,FAO,Chile,National,LAC,2015,2019,"6,293,684","Integrated National Monitoring and Assessment System on Forest Ecosystems (SIMEF) in support of policies, regulations and SFM practices incorporating REDD+ and biodiversity conservation in forest ecosystems (FSP)",Information System,1,GCP /CHI/032/GFF,NA,0,"divide by 6 = 165,000"
"FAO, PRESS",BMGF,FAO,Global,Global,Global,2012,2017,"5,637,513",Strengthening Agricultural Market Information Systems (AMIS) globally and in selected countries (Bangladesh/India/Nigeria) using innovative methods and digital technology ,Capacity Development,0,MTF /GLO/359/BMG,0,0,
PRESS ,EU,"WFP, FAO",Nepal,National,Asia & Pacific,2011,2018,"5,422,692",Support to the Institutionalizing of the Nepal Food Security Monitoring and Analysis System (NeKSAP) in Nepal - To provide technical support to the Central Bureau of Statistics (CBS) ,Information System,1,NA,NA,0,"divide by 6 = 75,000 per country"
PRESS ,EU,FAO,Somalia,National,Africa,2013,2017,"5,310,674","Economic Development Programme for Growth and Resilience, Phase III - Support to the Food Security & Nutrition Analysis Unit for Somalia Phase VII",Capacity Development,1,NA,NA,0,
